time,Tesco,Sainsburys,Asda,Morrisons,Aldi,The Cooperative,Lidl,Waitrose,Iceland,Symbols,Other
01/01/2015,29,16.7,16.9,11.1,4.9,5.9,3.5,5.2,2.2,1.9,2.7
01/02/2015,28.7,16.8,17,11,5,5.9,3.5,5.2,2.2,2,2.8
01/03/2015,28.4,16.4,17.1,10.9,5.3,6,3.7,5.1,2.1,2.1,2.9
01/04/2015,28.4,16.5,16.9,10.9,5.4,6,3.8,5.1,2.1,2,2.9
01/05/2015,28.6,16.5,16.6,10.9,5.4,6,3.9,5.2,2.1,2,2.8
01/06/2015,28.6,16.5,16.5,11,5.5,6.2,3.9,5.1,2,2.1,2.8
01/07/2015,28.5,16.5,16.4,10.9,5.6,6.3,4,5,2,2.1,2.8
01/08/2015,28.3,16.3,16.6,10.8,5.6,6.4,4.1,5.1,2,2.1,2.8
01/09/2015,28.2,16.2,16.7,10.7,5.6,6.4,4.2,5.2,2,2.1,2.8
01/10/2015,28.1,16.1,16.6,10.8,5.6,6.4,4.3,5.2,2,2.1,2.9
01/11/2015,27.9,16.6,16.4,10.8,5.6,6.3,4.4,5.2,1.9,2,2.8
01/12/2015,28,16.7,16.2,11,5.6,6.2,4.4,5.1,2,2,2.8
01/01/2016,28.4,16.8,16.2,10.6,5.8,6,4.2,5.2,2.1,1.9,3
01/02/2016,28.1,16.4,16.2,10.5,6,6.1,4.4,5.1,2,2,3.2
01/03/2016,28,16.5,16,10.6,6,6.2,4.4,5.2,2,1.9,3.2
01/04/2016,28.3,16.2,15.8,10.7,6,6.2,4.4,5.3,2.1,1.9,3.1
01/05/2016,28.2,16.3,15.6,10.8,6.1,6.3,4.4,5.2,2.1,1.9,3.1
01/06/2016,28.3,16.3,15.5,10.7,6.2,6.4,4.5,5.1,2.1,1.9,3.1
01/07/2016,28.1,16.1,15.7,10.6,6.2,6.6,4.5,5.1,2.1,2,3.1
01/08/2016,28.1,15.9,15.7,10.4,6.2,6.6,4.6,5.3,2.1,1.9,3.1
01/09/2016,28.2,16,15.6,10.4,6.2,6.5,4.6,5.4,2.1,1.9,3.1
01/10/2016,28.2,16.3,15.5,10.5,6.1,6.4,4.6,5.3,2.1,1.9,3
01/11/2016,28.3,16.5,15.3,10.8,6.2,6.3,4.6,5.1,2.2,1.8,3
01/12/2016,28.1,16.5,15.6,10.9,6.2,6,4.5,5.3,2.3,1.8,2.9
01/01/2017,27.9,16.5,15.7,10.6,6.3,5.9,4.6,5.3,2.2,1.9,3
01/02/2017,27.6,16.1,15.7,10.4,6.8,6.1,4.9,5.1,2.2,2,3.2
01/03/2017,27.6,16.2,15.6,10.5,6.9,6.1,5,5.2,2.1,2,2.9
01/04/2017,27.8,15.9,15.4,10.5,7,6.1,5,5.2,2.2,2,2.9
01/05/2017,27.9,16,15.2,10.7,6.9,6.1,5,5.2,2.2,2,2.9
01/06/2017,27.9,16,15.1,10.5,7,6.2,5.1,5.1,2.1,2,2.9
01/07/2017,27.9,15.9,15.3,10.4,7,6.3,5.2,5.1,2.1,1.9,2.8
01/08/2017,27.9,15.8,15.4,10.3,7,6.3,5.3,5.3,2.1,1.9,2.8
01/09/2017,28,15.8,15.5,10.3,6.8,6.2,5.2,5.3,2.1,1.8,2.9
01/10/2017,28.1,16.3,15.3,10.4,6.7,6.1,5.1,5.3,2,1.8,2.8
01/11/2017,28.2,16.4,15,10.6,6.9,6,5.1,5,2.2,1.7,2.8
01/12/2017,27.9,16.3,15.5,10.8,7,5.8,5,5.2,2.3,1.6,2.7
01/01/2018,27.9,16.2,15.6,10.6,7,5.8,5.1,5.2,2.2,1.7,2.9
01/02/2018,27.6,15.8,15.6,10.4,7.3,6,5.3,5,2.1,1.7,2.9
01/03/2018,27.6,15.9,15.5,10.5,7.3,6,5.4,5.1,2.1,1.8,3
01/04/2018,27.7,15.7,15.4,10.5,7.3,6,5.4,5.1,2.1,1.8,3
01/05/2018,27.7,15.6,15.1,10.6,7.4,6.2,5.4,5.1,2.2,1.8,3
01/06/2018,27.6,15.6,15.1,10.5,7.5,6.4,5.4,5,2.1,1.8,3
01/07/2018,27.4,15.5,15.2,10.4,7.6,6.6,5.5,5,2.1,1.8,3
01/08/2018,27.4,15.4,15.3,10.2,7.6,6.6,5.5,5.1,2.1,1.7,3
01/09/2018,27.4,15.4,15.3,10.3,7.6,6.4,5.6,5.2,2.1,1.7,3
