store,growthrate,initialshare,MS,JLP,Debe,Harr,Fraser,Self,Fen,Harv,Fortum,Liberty
MS,-0.284665386,32.6,0.010552784,-0.006354365,0.002496358,-0.00714866,0.000453883,-0.004879244,0.003177182,0.001815533,0.000340412,0.000340412
JLP,0.090320402,19.4,0.003297836,-0.001985794,0.000780133,-0.002234018,0.000141842,-0.001524806,0.000992897,0.00056737,0.000106382,0.000106382
Debe,-0.117679276,16.6,0.004211863,-0.002536175,0.000996355,-0.002853197,0.000181155,-0.00194742,0.001268088,0.000724622,0.000135867,0.000135867
Harr,0.353441799,5.1,0.004406453,-0.002653348,0.001042387,-0.002985016,0.000189525,-0.002037392,0.001326674,0.000758099,0.000142144,0.000142144
Fraser,0.001338183,8.2,-0.00238141,0.001433968,-0.000563344,0.001613214,-0.000102426,0.001101082,0.002690376,-0.000716984,-0.000409705,-7.68E-05
Self,0.247332978,5.3,0.004492382,-0.00270509,0.001062714,-0.003043226,0.000193221,-0.002077123,0.001352545,0.000772883,0.000144916,0.000144916
Fen,-0.958052209,2.8,0.045038698,-0.027120076,0.010654316,-0.030510085,0.001937148,-0.020824344,0.00823288,0.007748593,0.001452861,0.001452861
Harv,-1.055734359,1.6,0.061611251,-0.037099248,0.014574704,-0.041736654,0.002649946,-0.028486922,0.018549624,0.005631136,0.00198746,0.00198746
Fortum,-2.910038438,0.3,0.231865085,-0.139617685,0.054849805,-0.157069896,0.009972692,-0.107206437,0.069808843,0.039890767,0.003739759,0.007479519
Liberty,-2.910038438,0.3,0.231865085,-0.139617685,0.054849805,-0.157069896,0.009972692,-0.107206437,0.069808843,0.039890767,0.007479519,0.003739759
